"ï..Case.number","APN","Purchaser","Judgment","Non.judgment.Delinquency","Total.Delinquency","MV.Ascend","X.Del.MV","Improvement.Value","KIVA.PIN","Address.Number","Street","Street.Type","Combined.Full.Address","City","State","Longitude","Latitude","Land.Bank"
"K2016-02302","30830160200000000","Land Bank of Kansas City Missouri","$572.35 ","$96.07","$668.42",5282,"12.65%",0,144467,"106","58TH","ST","106  E 58TH ST","Kansas City","Missouri",-94.58654221,39.02252257,"No"
"K2016-02973","47740171000000000","Land Bank of Kansas City Missouri","$662.96 ","$115.55","$778.51",5345,"14.57%",0,117464,"8117","PARK","AVE","8117   PARK AVE","Kansas City","Missouri",-94.56105074,38.97903796,"No"
"K2016-01634","28820060500000000","Land Bank of Kansas City Missouri","$623.23 ","$192.20","$815.43",6838,"11.92%",0,22465,"4501","27TH","ST","4501  E 27TH ST","Kansas City","Missouri",-94.53036587,39.07611976,"No"
"K2016-01181","28110150900000000","Land Bank of Kansas City Missouri","$5,020.60 ","$197.36","$5,217.96",7020,"74.33%",0,5302,"927","NEWTON","AVE","927 A  NEWTON AVE","Kansas City","Missouri",-94.50381145,39.0999578,"No"
"K2016-02872","46930150300000000","Land Bank of Kansas City Missouri","$1,014.40 ","$152.90","$1,167.30",7074,"16.50%",0,4800,"8015","WALROND","AVE","8015   WALROND AVE","Kansas City","Missouri",-94.55042964,38.98093349,"No"
"K2016-02305","31120071900000000","Land Bank of Kansas City Missouri","$729.05 ","$9,890.56","$10,619.61",7272,"146.03%",6220,32489,"3600","BELLAIRE","AVE","3600   BELLAIRE AVE","Kansas City","Missouri",-94.51557736,39.05967225,"No"
"K2016-01551","28530243200000000","Land Bank of Kansas City Missouri","$762.12 ","$1,749.50","$2,511.62",7712,"32.57%",7389,19693,"2604","SPRUCE","AVE","2604   SPRUCE AVE","Kansas City","Missouri",-94.53326273,39.07807877,"No"
"K2016-02307","31120112000000000","Land Bank of Kansas City Missouri","$5,168.76 ","$142.57","$5,311.33",7843,"67.72%",6988,32426,"3605","FULLER","AVE","3605   FULLER AVE","Kansas City","Missouri",-94.50811923,39.05913559,"No"
"K2014-02327","30630173500000000","Land Bank of Kansas City Missouri","$4,206.30 ","$2,824.54","$7,030.84",8240,"85.33%",0,138337,"4940","PASEO","","4940   PASEO","Kansas City","Missouri",-94.568113,39.03663426,"No"
"K2016-01648","28820280200000000","Land Bank of Kansas City Missouri","$3,102.30 ","$162.96","$3,265.26",9084,"35.95%",7382,22586,"4407","30TH","ST","4407  E 30TH ST","Kansas City","Missouri",-94.53123351,39.07077069,"No"
"K2016-02614","31810021600000000","Land Bank of Kansas City Missouri","$881.37 ","$170.51","$1,051.88",9508,"11.06%",0,37405,"5241","HARDESTY","AVE","5241   HARDESTY AVE","Kansas City","Missouri",-94.52155404,39.02920978,"No"
"K2015-03266","47120032302000000","Land Bank of Kansas City Missouri","$1,214.58 ","$449.91","$1,664.49",11621,"14.32%",0,104976,"1315","59TH","ST","1315  E 59TH ST","Kansas City","Missouri",-94.57119413,39.01959983,"No"
"K2016-01211","28130083600000000","Land Bank of Kansas City Missouri","$1,076.34 ","$1,217.08","$2,293.42",11921,"19.24%",9320,6139,"6417","12TH","TER","6417  E 12TH TER","Kansas City","Missouri",-94.50682484,39.09624956,"No"
"K2016-01469","28510131900000000","Land Bank of Kansas City Missouri","$377.67 ","$220.09","$597.76",12271,"4.87%",11075,17791,"5106","23RD","ST","5106  E 23RD ST","Kansas City","Missouri",-94.5229808,39.083633,"No"
"K2016-02701","45320010100000000","Land Bank of Kansas City Missouri","$1,339.31 ","$282.68","$1,621.99",13734,"11.81%",0,52492,"8021","59TH","ST","8021  E 59TH ST","Kansas City","Missouri",-94.49102595,39.01664741,"No"
"K2016-01510","28530030800000000","Land Bank of Kansas City Missouri","$1,297.67 ","$266.94","$1,564.61",14883,"10.51%",13432,19045,"2315","LISTER","AVE","2315   LISTER AVE","Kansas City","Missouri",-94.52734996,39.08295285,"No"
"K2016-01435","28440121400000000","Land Bank of Kansas City Missouri","$1,329.98 ","$274.70","$1,604.68",15313,"10.48%",13820,16921,"2443","CLEVELAND","AVE","2443   CLEVELAND AVE","Kansas City","Missouri",-94.53809441,39.08069941,"No"
"K2016-01575","28540191700000000","Land Bank of Kansas City Missouri","$1,438.57 ","$279.25","$1,717.82",15571,"11.03%",14053,20600,"5006","27TH","ST","5006  E 27TH ST","Kansas City","Missouri",-94.52442842,39.07644668,"No"
"K2016-02775","46410041700000000","Land Bank of Kansas City Missouri","$1,983.86 ","$311.68","$2,295.54",17377,"13.21%",14836,2251,"6734","MONROE","AVE","6734   MONROE AVE","Kansas City","Missouri",-94.5441546,39.00347681,"No"
"K2016-02316","31120251502000000","Land Bank of Kansas City Missouri","$1,477.51 ","$283.67","$1,761.18",17498,"10.07%",15976,32620,"3820","FULLER","AVE","3820   FULLER AVE","Kansas City","Missouri",-94.50897913,39.05499529,"No"
"K2016-01642","28820151600000000","Land Bank of Kansas City Missouri","$2,065.07 ","$297.16","$2,362.23",17913,"13.19%",16298,22264,"2826","ELMWOOD","AVE","2826   ELMWOOD AVE","Kansas City","Missouri",-94.52993563,39.07357215,"No"
"K2016-01183","28110200200000000","Land Bank of Kansas City Missouri","$1,666.62 ","$325.33","$1,991.95",18136,"10.98%",16368,5216,"1001","NEWTON","AVE","1001   NEWTON AVE","Kansas City","Missouri",-94.50382654,39.09962681,"No"
"K2016-02826","46430032400000000","Land Bank of Kansas City Missouri","$1,604.19 ","$340.54","$1,944.73",18988,"10.24%",15286,3311,"7118","WALROND","AVE","7118   WALROND AVE","Kansas City","Missouri",-94.55028993,38.99700132,"No"
"K2016-01616","28810230900000000","Land Bank of Kansas City Missouri","$4,045.44 ","$2,491.84","$6,537.28",19825,"32.97%",17939,21949,"5409","29TH","ST","5409  E 29TH ST","Kansas City","Missouri",-94.51971955,39.07220599,"No"
"K2011-02913","31540122000000000","Land Bank of Kansas City Missouri","$2,682.30 ","$5,261.35","$7,943.65",19910,"39.90%",0,33594,"5648","BLUE","PKWY","5648   BLUE PKWY","Kansas City","Missouri",-94.51922338,39.03550072,"No"
"K2016-02104","30140121600000000","Land Bank of Kansas City Missouri","$4,309.89 ","$323.30","$4,633.19",20207,"22.93%",18274,136649,"4037","GARFIELD","AVE","4037   GARFIELD AVE","Kansas City","Missouri",-94.55921688,39.05251629,"No"
"K2015-16500/K2016-16000","28310340400000000","Land Bank of Kansas City Missouri","$6,312.20 ","$339.48","$6,651.68",21218,"31.35%",19373,10148,"4117","11TH","ST","4117  E 11TH ST","Kansas City","Missouri",-94.53369856,39.099087,"No"
"K2016-02875","46930221000000000","Land Bank of Kansas City Missouri","$7,218.05 ","$782.94","$8,000.99",22598,"35.41%",19514,4985,"8111","MONTGALL","AVE","8111   MONTGALL AVE","Kansas City","Missouri",-94.55637981,38.97919092,"No"
"K2016-02462","31330141300000000","Land Bank of Kansas City Missouri","$1,876.36 ","$405.90","$2,282.26",22632,"10.08%",20426,29569,"4033","BELLEFONTAINE","AVE","4033   BELLEFONTAINE AVE","Kansas City","Missouri",-94.54774117,39.05224453,"No"
"K2016-01482","28520101700000000","Land Bank of Kansas City Missouri","$2,375.38 ","$440.66","$2,816.04",24571,"11.46%",22175,18390,"1824","KENSINGTON","AVE","1824   KENSINGTON AVE","Kansas City","Missouri",-94.53163586,39.08912866,"No"
"K2016-01883","29710093100000000","Land Bank of Kansas City Missouri","$2,033.28 ","$1,525.24","$3,558.52",24905,"14.29%",22494,26464,"2816","WABASH","AVE","2816   WABASH AVE","Kansas City","Missouri",-94.55407603,39.07468681,"No"
"K2016-01110","13940181400000000","Land Bank of Kansas City Missouri","$2,100.17 ","$902.28","$3,002.45",25805,"11.64%",23057,41866,"3604","SMART","AVE","3604   SMART AVE","Kansas City","Missouri",-94.53842236,39.10976834,"No"
"K2016-01574","28540182300000000","Land Bank of Kansas City Missouri","$2,090.91 ","$457.42","$2,548.33",26169,"9.74%",21445,20751,"2532","DRURY","AVE","2532   DRURY AVE","Kansas City","Missouri",-94.51932695,39.07849144,"No"
"K2016-01180","28110120600000000","Land Bank of Kansas City Missouri","$2,210.34 ","$841.39","$3,051.73",27100,"11.26%",24458,5189,"817","NEWTON","AVE","817   NEWTON AVE","Kansas City","Missouri",-94.50374028,39.10156059,"No"
"K2016-01135","14940220700000000","Land Bank of Kansas City Missouri","$2,176.66 ","$843.43","$3,020.09",27213,"11.10%",23499,47003,"8609","THOMPSON","AVE","8609   THOMPSON AVE","Kansas City","Missouri",-94.48151376,39.10535704,"No"
